,aggregatable,aiPredictionField,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,formulaTreatNullNumberAsZero,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,requiredOnCreate,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sobject,sortable,type,unique,updateable,writeRequiresMasterRead
Id,True,False,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,True,False,False,True,,Activity ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,False,0,False,tns:ID,Task,True,id,False,False,False
IsArchived,False,False,False,0,False,,False,False,,,False,False,0,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Archived,0,,,IsArchived,False,False,False,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:boolean,Task,True,boolean,False,False,False
IsClosed,False,False,False,0,False,,False,False,,,False,False,0,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Closed,0,,,IsClosed,False,False,False,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:boolean,Task,True,boolean,False,False,False
IsDeleted,False,False,False,0,False,,False,False,,,False,False,0,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Deleted,0,,,IsDeleted,False,False,False,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:boolean,Task,True,boolean,False,False,False
IsHighPriority,False,False,False,0,False,,False,False,,,False,False,0,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,High Priority,0,,,IsHighPriority,False,False,False,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:boolean,Task,True,boolean,False,False,False
IsRecurrence,False,False,False,0,False,,False,False,,,True,False,0,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Create Recurring Series of Tasks,0,,,IsRecurrence,False,False,False,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:boolean,Task,True,boolean,False,False,False
IsReminderSet,False,False,False,0,False,,False,False,,,True,False,0,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Reminder Set,0,,,IsReminderSet,False,False,False,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:boolean,Task,True,boolean,False,True,False
LastModifiedById,True,False,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Last Modified By ID,18,,,LastModifiedById,False,False,False,False,[],False,0,False,,['User'],LastModifiedBy,,False,False,False,0,False,tns:ID,Task,True,reference,False,False,False
LastModifiedDate,True,False,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,False,,Last Modified Date,0,,,LastModifiedDate,False,False,False,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:dateTime,Task,True,datetime,False,False,False
OwnerId,True,False,False,18,False,,False,False,,,True,False,,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Assigned To ID,18,,,OwnerId,False,True,False,False,[],True,0,False,,"['Group', 'User']",Owner,,False,False,False,0,False,tns:ID,Task,True,reference,False,True,False
Priority,True,False,False,60,False,,False,False,,,True,False,Normal,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Priority,20,,,Priority,False,False,False,False,"[{'active': True, 'defaultValue': False, 'label': 'High', 'validFor': None, 'value': 'High'}, {'active': True, 'defaultValue': True, 'label': 'Normal', 'validFor': None, 'value': 'Normal'}, {'active': True, 'defaultValue': False, 'label': 'Low', 'validFor': None, 'value': 'Low'}]",False,0,False,,[],,,False,False,False,0,False,xsd:string,Task,True,picklist,False,True,False
RecurrenceActivityId,True,False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Recurrence Activity ID,18,,,RecurrenceActivityId,False,False,True,False,[],False,0,False,,['Task'],,,False,False,False,0,False,tns:ID,Task,True,reference,False,False,False
RecurrenceDayOfMonth,True,False,False,0,False,,False,False,,,True,False,,,False,False,False,9,False,False,False,,True,,False,True,False,False,False,,Recurrence Day of Month,0,,,RecurrenceDayOfMonth,False,False,True,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:int,Task,True,int,False,True,False
RecurrenceDayOfWeekMask,True,False,False,0,False,,False,False,,,True,False,,,False,False,False,9,False,False,False,,True,,False,True,False,False,False,,Recurrence Day of Week Mask,0,,,RecurrenceDayOfWeekMask,False,False,True,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:int,Task,True,int,False,True,False
RecurrenceEndDateOnly,True,False,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Recurrence End,0,,,RecurrenceEndDateOnly,False,False,True,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:date,Task,True,date,False,True,False
RecurrenceInstance,True,False,False,120,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Recurrence Instance,40,,,RecurrenceInstance,False,False,True,False,"[{'active': True, 'defaultValue': False, 'label': '1st', 'validFor': None, 'value': 'First'}, {'active': True, 'defaultValue': False, 'label': '2nd', 'validFor': None, 'value': 'Second'}, {'active': True, 'defaultValue': False, 'label': '3rd', 'validFor': None, 'value': 'Third'}, {'active': True, 'defaultValue': False, 'label': '4th', 'validFor': None, 'value': 'Fourth'}, {'active': True, 'defaultValue': False, 'label': 'last', 'validFor': None, 'value': 'Last'}]",False,0,False,,[],,,False,False,True,0,False,xsd:string,Task,True,picklist,False,True,False
RecurrenceInterval,True,False,False,0,False,,False,False,,,True,False,,,False,False,False,9,False,False,False,,True,,False,True,False,False,False,,Recurrence Interval,0,,,RecurrenceInterval,False,False,True,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:int,Task,True,int,False,True,False
RecurrenceMonthOfYear,True,False,False,120,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Recurrence Month of Year,40,,,RecurrenceMonthOfYear,False,False,True,False,"[{'active': True, 'defaultValue': False, 'label': 'January', 'validFor': None, 'value': 'January'}, {'active': True, 'defaultValue': False, 'label': 'February', 'validFor': None, 'value': 'February'}, {'active': True, 'defaultValue': False, 'label': 'March', 'validFor': None, 'value': 'March'}, {'active': True, 'defaultValue': False, 'label': 'April', 'validFor': None, 'value': 'April'}, {'active': True, 'defaultValue': False, 'label': 'May', 'validFor': None, 'value': 'May'}, {'active': True, 'defaultValue': False, 'label': 'June', 'validFor': None, 'value': 'June'}, {'active': True, 'defaultValue': False, 'label': 'July', 'validFor': None, 'value': 'July'}, {'active': True, 'defaultValue': False, 'label': 'August', 'validFor': None, 'value': 'August'}, {'active': True, 'defaultValue': False, 'label': 'September', 'validFor': None, 'value': 'September'}, {'active': True, 'defaultValue': False, 'label': 'October', 'validFor': None, 'value': 'October'}, {'active': True, 'defaultValue': False, 'label': 'November', 'validFor': None, 'value': 'November'}, {'active': True, 'defaultValue': False, 'label': 'December', 'validFor': None, 'value': 'December'}]",False,0,False,,[],,,False,False,True,0,False,xsd:string,Task,True,picklist,False,True,False
RecurrenceRegeneratedType,True,False,False,120,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Repeat This Task,40,,,RecurrenceRegeneratedType,False,False,True,False,"[{'active': True, 'defaultValue': False, 'label': 'After due date', 'validFor': None, 'value': 'RecurrenceRegenerateAfterDueDate'}, {'active': True, 'defaultValue': False, 'label': 'After date completed', 'validFor': None, 'value': 'RecurrenceRegenerateAfterToday'}, {'active': True, 'defaultValue': False, 'label': '(Task Closed)', 'validFor': None, 'value': 'RecurrenceRegenerated'}]",False,0,False,,[],,,False,False,True,0,False,xsd:string,Task,True,picklist,False,True,False
RecurrenceStartDateOnly,True,False,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Recurrence Start,0,,,RecurrenceStartDateOnly,False,False,True,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:date,Task,True,date,False,True,False
